'Carrera','Sede','Grupo_Familiar','Medio_Transporte','Tiempo_Traslado','Influencia_Cercania','Cursando_Actualmente','Nivel_Cursado','Nivel_Terminado','Tipo_Colegio','Tipo_Titulo','Pedira_Beca','OS_Mutual','Trabajo','Relacion_Trabajo_Carrera','Tipo_Trabajo','Rama_Trabajo','Formal_Informal','Permanente_Temporario','Cantidad_Horas_Trabajadas','Tipo_Horarios','Horario_Trabajo','Posibilidad_Cambiar_Horario','Busca_Trabajo','Cantidad_Grupo_Familiar','Instruccion_Madre','Instruccion_Padre','Conocimiento_Idioma','Conocimientos_Procesador_Texto','Conocimientos_Planilla_Calculo','Conocimientos_Internet','INGRESANTE','ESTADO 1-2015'
51,11,'1-Mi grupo familiar','2-En colectivo de corta distancia',40,'4-Nada','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Otro (especificar)','16-Si','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 25 a 48 horas','No contesta','26-Mañana','27-Sólo algunas veces','No aplica',3,'Primario Completo','Primario Completo','34-Si',,,'Intermedio','SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-En colectivo de media distancia',90,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Trabajador Familiar','21-Otras (especificar)','22-Informal','23-Temporario','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',2,'Medio o Polimodal Incompleto','Primario Incompleto','34-No','Bueno','Bueno','Avanzado','NO','ABANDONO'
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',30,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Informal','23-Permanente','24-De 11 a 24 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',3,'Primario Incompleto','Primario Incompleto','34-Si','Bueno','Bueno','Bueno','SI','ABANDONO'
3,2,'1-Mi grupo familiar','No contesta',20,'4-Mucho','6-No','No aplica','8-Terciario','9-Público','14-Técnico','16-Si','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','No aplica',2,'Primario Completo','Primario Completo','34-No','Bueno','Bueno','Bueno','SI','ABANDONO'
5,3,'1-Mi grupo familiar','2-En colectivo de corta distancia',40,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Públicos','22-Formal','23-Permanente','24-Más de 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',4,'Primario Completo','Primario Incompleto','34-No','Intermedio','Intermedio','Intermedio','NO','ABANDONO'
51,11,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ABANDONO'
5,2,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'NO','ABANDONO'
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',30,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Otro (especificar)','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',3,'Primario Completo','Primario Incompleto','34-No','Bueno','Intermedio','Bueno','NO','ABANDONO'
4,2,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ACTIVO'
6,1,'1-Mi grupo familiar','No contesta',120,'4-Nada','6-No','No aplica','8-Terciario','No contesta','No contesta','16-No','17-Si','18-Si','19-Total','No contesta','21-Educación','22-Formal','23-Permanente','24-De 11 a 24 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','No aplica',3,'Medio o Polimodal Incompleto','Medio o Polimodal Incompleto','34-No','Intermedio','Intermedio','Intermedio','NO','ABANDONO'
43,6,'1-Sola/o','2-A pie',30,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Educación','22-Informal','No contesta','No contesta','25-Fijos','26-Mañana','27-Siempre que sea necesario','No aplica',4,'Primario Completo','Primario Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-En tren',50,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Total','20-Cuenta Propista','21-Industrial','22-Formal','23-Permanente','24-Más de 48 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica',4,'Primario Incompleto','Primario Incompleto','34-No','Avanzado','Bueno','Avanzado','NO','ABANDONO'
51,11,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',60,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Industrial','22-Formal','23-Permanente','24-Más de 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',5,'Primario Incompleto','Primario Incompleto','34-Si','Bueno','Bueno','Bueno','SI','ACTIVO'
4,2,'1-Mi grupo familiar','No contesta',,'4-Nada','6-No','No aplica','8-Terciario','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica',4,'Primario Incompleto','Primario Incompleto','34-No','Bueno','Intermedio','Avanzado','SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-A pie',60,'4-Nada','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Técnico','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Privados','22-Formal','23-Permanente','24-Más de 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',4,'Primario Completo','Medio o Polimodal Incompleto','34-Si','Intermedio','Intermedio','Intermedio','SI','ACTIVO'
48,1,'1-Mi grupo familiar','No contesta',60,'4-Mucho','6-No','No aplica','8-Terciario','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',3,'Universitario Completo','Medio o Polimodal Completo','34-Si','Bueno','Bueno','Bueno','NO','ABANDONO'
29,1,'1-Mi grupo familiar','2-En tren',30,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 11 a 24 horas','25-Rotativos','26-Mañana','27-Siempre que sea necesario','No aplica',6,'Medio o Polimodal Completo','Medio o Polimodal Completo','34-No','Bueno','Bueno','Bueno','NO','ABANDONO'
8,1,'1-Mi grupo familiar','2-En tren',20,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Noche','27-Nunca','No aplica',2,'Primario Completo','Medio o Polimodal Completo','34-Si','Avanzado','Avanzado','Avanzado','SI','ABANDONO'
5,2,'1-Mi grupo familiar','2-En colectivo de media distancia',60,'4-Mucho','6-No','No aplica','8-Terciario','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',3,'Medio o Polimodal Incompleto','Medio o Polimodal Completo','34-Si','Bueno','Bueno','Bueno','SI','ACTIVO'
5,2,'1-Sola/o','2-En tren',40,'4-Poco','6-No','No aplica','8-Terciario','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Servicios Públicos','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',,'Primario Completo','Primario Completo','34-No','Intermedio',,'Avanzado','SI','ACTIVO'
33,2,'1-Mi grupo familiar','2-En tren',90,'4-Poco','No contesta','No aplica','8-Universitario','9-Público','14-Bachiller','16-No','17-Si','No contesta','19-Parcial','20-Obrero o Empleado','21-Servicios Públicos','22-Formal','23-Temporario','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','28-Si',3,'Primario Completo','Primario Completo','34-No','Bueno',,'Bueno','NO','ABANDONO'
8,1,'1-Mi grupo familiar','2-En bicicleta o moto',20,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',5,'Primario Incompleto','Primario Incompleto','34-No','Intermedio','Intermedio','Intermedio','SI','ACTIVO'
3,2,'1-Mi grupo familiar','2-En tren',40,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Otro (especificar)','16-Si','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','No contesta','23-Temporario','24-De 11 a 24 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica',4,'Primario Completo','Medio o Polimodal Completo','34-Si','Bueno','Bueno','Intermedio','SI','ABANDONO'
5,1,'1-Mi grupo familiar','2-En colectivo de media distancia',60,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Públicos','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','No aplica',3,'Terciario Completo','Primario Completo','34-No','Intermedio','Intermedio','Bueno','SI','ABANDONO'
8,1,'1-Mi grupo familiar','2-En tren',60,'4-Nada','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Educación','22-Formal','23-Temporario','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',3,'Medio o Polimodal Completo','Primario Completo','34-No','Bueno',,'Intermedio','NO','ABANDONO'
3,3,'1-Algún pariente','2-En colectivo de corta distancia',30,'4-Mucho','6-No','No aplica','8-Terciario','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Privados','22-Informal','23-Temporario','24-Más de 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',4,'Primario Incompleto','Primario Incompleto','34-Si','Intermedio',,,'SI','ACTIVO'
43,6,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ABANDONO'
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',40,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Industrial','22-Formal','23-Permanente','24-Menos de 10 horas','25-Rotativos','26-Noche','27-Siempre que sea necesario','No aplica',3,'Primario Completo','Primario Completo','34-No','Intermedio','Intermedio','Intermedio','SI','ABANDONO'
3,1,'1-Otro','2-En tren',30,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Servicios Privados','22-Formal','23-Permanente','24-Más de 48 horas','25-Rotativos','26-Mañana','27-Siempre que sea necesario','No aplica',2,'Medio o Polimodal Completo','Primario Incompleto','34-No','Avanzado','Intermedio','Avanzado','SI','ACTIVO'
6,1,'1-Mi grupo familiar','No contesta',50,'4-Nada','6-No','No aplica','8-Terciario','No contesta','No contesta','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 11 a 24 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','No aplica',5,'Terciario Completo','Medio o Polimodal Incompleto','34-Si',,'Bueno','Bueno','SI','ABANDONO'
33,2,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ABANDONO'
4,1,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'NO','ABANDONO'
15,6,'1-Otro','No contesta',120,'4-Poco','6-No','No aplica','8-Universitario','9-Privado','No contesta','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','No contesta','23-Permanente','24-De 11 a 24 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica',2,'Universitario Completo','Universitario Completo','34-Si','Bueno','Bueno','Intermedio','SI','ABANDONO'
25,1,'1-Mi grupo familiar','No contesta',40,'4-Nada','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Técnico','16-No','17-Si','18-Si','19-Parcial','20-Patrón o Encargado','21-Industrial','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Siempre que sea necesario','No aplica',2,'Medio o Polimodal Completo','Primario Incompleto','34-Si','Bueno','Bueno','Bueno','SI','ABANDONO'
5,3,'1-Algún pariente','2-En colectivo de media distancia',50,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Públicos','22-Informal','23-Permanente','24-Menos de 10 horas','25-Rotativos','26-Mañana','27-Siempre que sea necesario','No aplica',,'Primario Incompleto','Primario Incompleto','34-No','Intermedio',,,'SI','ABANDONO'
3,3,'1-Mi grupo familiar','No contesta',60,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-No','18-Si','19-Total','20-Obrero o Empleado','21-Industrial','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Nunca','No aplica',4,'Medio o Polimodal Incompleto','Primario Incompleto','34-Si','Avanzado','Avanzado','Avanzado','NO','ABANDONO'
8,1,'1-Mi grupo familiar','2-En tren',20,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-No','18-Si','19-Parcial','20-Cuenta Propista','21-Servicios Privados','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Rotativos','26-Noche','27-Siempre que sea necesario','No aplica',3,'Universitario Incompleto','Medio o Polimodal Incompleto','34-Si','Avanzado','Avanzado','Avanzado','SI','ABANDONO'
5,3,'1-Otro','2-En colectivo de media distancia',60,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Otras (especificar)','22-Informal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Siempre que sea necesario','No aplica',2,'Primario Completo','Primario Completo','34-No','Bueno','Bueno','Bueno','SI','ABANDONO'
15,6,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ACTIVO'
3,2,'1-Mi grupo familiar','2-A pie',10,'4-Mucho','6-Si','7-Universitario','8-Medio/Polimodal','9-Privado','14-Otro (especificar)','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Educación','22-Formal','23-Temporario','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica',2,'Terciario Completo','Medio o Polimodal Incompleto','34-Si',,'Avanzado','Avanzado','SI','ABANDONO'
3,1,'1-Mi grupo familiar','No contesta',20,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Informal','23-Temporario','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Siempre que sea necesario','No aplica',7,'Primario Incompleto','Medio o Polimodal Completo','34-Si','Intermedio','Intermedio','Avanzado','SI','ACTIVO'
51,11,'1-Mi grupo familiar','2-A pie',40,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','No aplica',2,'Primario Incompleto','Primario Incompleto','34-No','Intermedio','Bueno','Bueno','SI','ABANDONO'
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',60,'4-Mucho','6-No','No aplica','8-Universitario','9-Privado','No contesta','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Otras (especificar)','22-Formal','23-Permanente','24-Menos de 10 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica',3,'Terciario Incompleto','Primario Completo','34-Si','Bueno','Bueno','Bueno','NO','ABANDONO'
3,4,'1-Otro','2-A pie',60,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Industrial','22-Informal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Nunca','No aplica',1,'Medio o Polimodal Incompleto','Universitario Incompleto','34-Si','Intermedio','Bueno','Intermedio','SI','ACTIVO'
5,2,'1-Mi grupo familiar','No contesta',,'4-Mucho','6-No','No aplica','8-Terciario','9-Privado','No contesta','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Tarde','No contesta','No aplica',3,'Medio o Polimodal Incompleto','Primario Completo','34-Si',,,'Intermedio','NO','ABANDONO'
3,2,'1-Mi grupo familiar','2-A pie',30,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Formal','23-Permanente','24-Más de 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',2,'Primario Completo','Primario Incompleto','34-Si','Avanzado','Avanzado','Avanzado','NO','ABANDONO'
5,1,'1-Mi grupo familiar','2-En bicicleta o moto',20,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Cuenta Propista','21-Servicios Públicos','22-Informal','23-Temporario','24-De 11 a 24 horas','25-Rotativos','26-Tarde','27-Sólo algunas veces','No aplica',3,'Terciario Completo','Terciario Completo','34-No','Bueno','Bueno','Intermedio','SI','ACTIVO'
27,3,'1-Mi grupo familiar','2-En bicicleta o moto',20,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Técnico','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Privados','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Siempre que sea necesario','No aplica',3,'Medio o Polimodal Completo','Medio o Polimodal Incompleto','34-Si','Avanzado','Intermedio','Avanzado','SI','ABANDONO'
5,2,'1-Algún pariente','2-A pie',40,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',2,'Primario Completo','Medio o Polimodal Completo','34-No',,,,'NO','ABANDONO'
5,1,'1-Mi grupo familiar','2-En bicicleta o moto',45,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','No contesta','17-No','18-Si','19-Parcial','20-Obrero o Empleado','No contesta','22-Informal','23-Temporario','24-Menos de 10 horas','25-Fijos','26-Mañana','27-Siempre que sea necesario','No aplica',4,'Primario Incompleto','Primario Completo','34-Si',,,,'SI','ACTIVO'
15,6,'1-Sola/o','2-En colectivo de corta distancia',40,'4-Poco','6-No','No aplica','8-Universitario','No contesta','No contesta','16-No','17-Si','18-Si','19-Parcial','20-Patrón o Encargado','21-Comercio','22-Formal','23-Permanente','24-Más de 48 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica',1,'Primario Completo','Primario Completo','34-Si','Bueno','Bueno','Bueno','SI','ABANDONO'
4,2,'1-Mi grupo familiar','2-En tren',100,'4-Mucho','6-Si','7-Terciario','8-Terciario','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Temporario','24-Menos de 10 horas','25-Rotativos','No contesta','27-Sólo algunas veces','No aplica',4,'Primario Completo','Primario Incompleto','34-Si','Avanzado','Bueno','Intermedio','NO','ABANDONO'
25,1,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'NO','ABANDONO'
3,1,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-En tren',60,'4-Poco','6-No','No aplica','8-Medio/Polimodal','No contesta','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Otras (especificar)','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Rotativos','26-Tarde','27-Sólo algunas veces','No aplica',3,'Primario Incompleto','Primario Incompleto','34-No','Intermedio','Intermedio','Intermedio','NO','ABANDONO'
3,3,'1-Mi grupo familiar','No contesta',20,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','No contesta','18-Si','19-Parcial','20-Cuenta Propista','No contesta','No contesta','23-Permanente','No contesta','25-Rotativos','26-Mañana','27-Sólo algunas veces','No aplica',3,'Primario Incompleto','Primario Completo','34-Si','Intermedio','Intermedio','Avanzado','NO','ABANDONO'
27,1,'1-Mi grupo familiar','2-En colectivo de larga distancia',140,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',4,'Primario Completo','Primario Completo','34-Si',,'Bueno','Avanzado','SI','ABANDONO'
10,1,'1-Mi grupo familiar','2-En colectivo de media distancia',180,'4-Nada','6-No','No aplica','8-Terciario','9-Público','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',3,'Medio o Polimodal Completo','Medio o Polimodal Completo','34-Si','Avanzado','Intermedio','Avanzado','SI','ABANDONO'
27,3,'1-Mi grupo familiar','No contesta',5,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Técnico','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Industrial','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Rotativos','26-Mañana','27-Sólo algunas veces','No aplica',2,'Medio o Polimodal Completo','Terciario Completo','34-Si','Avanzado','Intermedio','Avanzado','NO','ABANDONO'
26,2,'1-Mi grupo familiar','2-En tren',,'4-Mucho','No contesta','No aplica','No contesta','No contesta','No contesta','16-Si','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Temporario','24-Menos de 10 horas','25-Fijos','26-Tarde','27-Siempre que sea necesario','No aplica',,'Medio o Polimodal Incompleto','Primario Completo','34-Si','Intermedio','Bueno','Avanzado','SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-A pie',25,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Patrón o Encargado','21-Servicios Públicos','22-Formal','23-Temporario','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','No aplica',3,'Primario Incompleto','Primario Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ABANDONO'
3,1,'1-Mi grupo familiar','No contesta',15,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Privados','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica',3,'Primario Completo','Medio o Polimodal Incompleto','34-No','Bueno','Intermedio','Intermedio','NO','ABANDONO'
3,2,'1-Mi grupo familiar','2-En tren',60,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Otras (especificar)','22-Formal','23-Permanente','No contesta','No contesta','No contesta','27-Nunca','No aplica',3,'Medio o Polimodal Completo','Medio o Polimodal Incompleto','34-No','Bueno','Bueno','Bueno','SI','ACTIVO'
