horas_trabajadas;masculino;edad_ingreso;colegio_publico;argentino;activo_primer_anio;activo_segundo_anio;anios_en_unlu;aprobadas_1er_anio;anios_cursados;c_promociones_1er_anio;c_libres_1er_anio;c_regulares_1er_anio;c_ausentes_1er_anio;c_noausentes_1er_anio;cursadas_ap_1er_anio;cursadas_1er_anio;cambio_universidad;cambio_carrera;progresar;fracaso_academico
0;0;22;1;1;1;0;1;0;1;0;3;4;8;8;4;16;0;1;0;0
0;0;21;1;1;0;1;2;0;2;0;0;1;3;1;1;4;0;0;1;0
0;0;54;1;1;1;0;3;0;3;0;0;0;2;0;0;2;0;1;0;0
0;0;28;1;1;1;0;3;0;3;0;0;0;2;0;0;2;0;0;0;0
24;0;28;1;1;1;1;2;0;2;0;0;1;0;1;1;1;0;0;0;0
6;0;26;1;1;1;1;4;2;3;2;0;0;0;2;2;2;0;0;0;0
0;1;43;1;1;1;1;4;0;3;0;0;0;5;0;0;5;0;0;0;0
0;1;30;1;1;1;1;4;0;3;0;1;0;1;2;0;3;0;0;0;0
0;1;21;1;1;1;0;1;0;1;0;2;0;1;2;0;3;0;0;1;1
40;0;22;0;1;1;1;4;2;3;1;0;1;3;2;2;5;0;0;0;0
40;0;28;0;1;1;1;2;4;2;3;1;1;0;5;4;5;1;0;0;0
0;1;23;0;1;1;1;4;1;3;0;2;1;5;3;1;8;0;0;0;0
0;0;46;1;1;1;0;1;0;1;0;1;0;2;1;0;3;0;0;0;0
0;0;33;0;1;1;1;4;2;3;2;0;0;3;2;2;5;0;0;0;0
8;1;51;1;1;1;0;1;0;1;0;0;0;2;0;0;2;0;0;0;0
0;0;20;1;1;1;1;4;1;3;0;1;1;0;2;1;2;0;0;1;0
0;1;20;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;19;1;1;1;1;4;8;3;4;0;2;2;6;6;8;0;0;1;0
0;0;27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;34;1;1;1;1;4;0;3;0;0;1;1;1;1;2;1;0;0;0
45;0;27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;34;1;1;1;1;4;2;3;2;3;1;1;6;3;7;0;0;0;0
30;0;28;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0
25;1;26;0;1;1;0;1;0;1;0;0;0;2;0;0;2;0;0;0;0
0;0;38;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0
45;0;30;0;1;1;0;1;1;1;1;0;1;1;2;2;3;0;0;0;0
48;1;23;0;1;1;1;4;3;3;2;1;1;1;4;3;5;0;0;0;0
20;1;24;1;1;1;0;1;2;1;2;0;1;5;3;3;8;1;0;0;0
0;0;35;0;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0
60;0;21;1;1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;0
48;1;50;0;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0
